Query Number,Query Name,Execution Time,Plan time,Query hash
1,10a.sql,373.026,23.894,-6651533820180303979
1,10b.sql,99.683,15.867,988535410010893112
1,10c.sql,10347.484,14.691,2494719406442254794
1,11a.sql,103.606,28.663,-8754961486292191806
1,11b.sql,23.883,26.651,7102013096890644952
1,11c.sql,257.517,30.826,2333270921735776355
1,11d.sql,211.640,29.311,-5951735317690032369
1,12a.sql,165.167,22.369,-9026514954839072455
1,12b.sql,100.541,24.347,5632455736553151255
1,12c.sql,639.872,25.369,6417179009749033666
1,13a.sql,528.065,37.871,-1829334865866162189
1,13b.sql,888.434,40.701,4778871310081631647
1,13c.sql,775.138,38.459,4778871310081631647
1,13d.sql,6775.928,38.145,2434959201386717317
1,14a.sql,337.236,21.686,274192810335693858
1,14b.sql,247.374,25.707,-4506995590541967356
1,14c.sql,583.950,29.320,299267792258938541
1,15a.sql,616.915,85.929,-460740518707800565
1,15b.sql,42.042,59.024,-4209927756710409746
1,15c.sql,1446.200,62.786,4486446217020337985
1,15d.sql,1493.122,57.313,-321921298358758659
1,16a.sql,462.277,27.931,816913887554954199
1,16b.sql,49565.693,28.154,3350265702090035455
1,16c.sql,4317.995,49.268,607840843579539521
1,16d.sql,3467.108,52.102,816913887554954199
1,17a.sql,28442.188,16.874,-917204397272063480
1,17b.sql,13816.482,18.711,-5459870143170781696
1,17c.sql,13329.861,40.226,-5459870143170781696
1,17d.sql,13377.141,17.172,3199076743843001296
1,17e.sql,29113.413,33.985,-1944885556475480423
1,17f.sql,21925.783,18.410,3199076743843001296
1,18a.sql,3643.647,30.581,-3485514449383768787
1,18b.sql,173.520,16.951,-2924466581088026648
1,18c.sql,4209.227,16.952,1168076528610430802
1,19a.sql,4674.522,75.938,-2080431693778951356
1,19b.sql,732.881,77.336,-2216088972165640435
1,19c.sql,540.200,78.763,5068614643165729469
1,19d.sql,20305.898,91.747,7915967579038312663
1,1a.sql,127.220,18.303,-1116224040252844741
1,1b.sql,101.489,7.023,-4074774145614403639
1,1c.sql,111.784,7.706,946838174961328458
1,1d.sql,98.970,7.241,-6885312641126422993
1,20a.sql,2466.464,51.603,-2202723705874175045
1,20b.sql,1052.750,57.800,-310926232940389306
1,20c.sql,783.310,60.504,-6387362809141986757
1,21a.sql,129.406,70.168,1038524182031953798
1,21b.sql,92.697,65.701,4184495773567888797
1,21c.sql,127.198,69.153,-7971004576533452411
1,22a.sql,742.756,131.467,-7110568913434103698
1,22b.sql,379.330,146.096,-7110568913434103698
1,22c.sql,2028.496,124.809,-5949668645089970217
1,22d.sql,1157.012,119.016,1524343667767028728
1,23a.sql,127.153,136.810,4445581228366823766
1,23b.sql,56.930,114.433,-7994933085961275538
1,23c.sql,176.457,115.158,1076878163750528468
1,24a.sql,255.646,233.817,6624959997497422723
1,24b.sql,203.723,247.337,1322643491423167220
1,25a.sql,3778.705,45.630,-5845388691995996195
1,25b.sql,365.532,56.402,-4983731566966487840
1,25c.sql,4616.563,55.224,9105500078934324812
1,26a.sql,953.288,239.673,1025902338300761143
1,26b.sql,278.332,255.064,-3475685009172437784
1,26c.sql,1075.765,246.557,6841805925482126349
1,27a.sql,122.031,299.343,-5323664899700589841
1,27b.sql,47.479,279.400,2103229838344518222
1,27c.sql,88.165,293.019,-1723239386245354632
1,28a.sql,4389.603,361.224,-1573023350148659030
1,28b.sql,826.707,303.608,-3210595597316270705
1,28c.sql,2284.260,269.000,5372730239182956237
1,29a.sql,99.616,374.774,1693774000992751456
1,29b.sql,29.297,317.881,-6571914703387389993
1,29c.sql,487.580,352.442,3549109824785540005
1,2a.sql,1582.389,7.775,7420183357700622221
1,2b.sql,1745.269,7.187,7420183357700622221
1,2c.sql,1681.070,7.489,7420183357700622221
1,2d.sql,1794.192,18.235,7420183357700622221
1,30a.sql,3381.850,296.181,-6682106289455670140
1,30b.sql,1020.781,232.324,7721649514993682563
1,30c.sql,4396.509,273.643,-1889760809355916724
1,31a.sql,14789.844,177.161,7519382914444524780
1,31b.sql,384.276,175.345,146477119612211947
1,31c.sql,5912.595,183.568,2399599952233934428
1,32a.sql,19.006,14.203,6225652705960457954
1,32b.sql,416.427,15.337,6225652705960457954
