queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,{},{0.108006258},{},{0.013558865},{},{1.1878627657237064},0,1
-6651533820180303979,{},{1.166624242},{},{0.023160823},{},{0.7124998254867055},0,1
-3414057395363075461,{},{0.194298664},{},{0.010026627},{},{0.900274450992579},0,1
3350265702090035455,{},{53.389082301},{},{0.028383955},{},{3.323633211026279},0,1
-917204397272063480,{},{31.437708215},{},{0.016267595},{},{3.2561315717815122},0,1
1693774000992751456,{},{0.060990803},{},{0.337337037},{},{1.3471197849599656},0,1
3759324545287071861,{},"{0.053182274,0.018976862,0.050485807}",{},"{0.007621057,0.007759568,0.01187876}",{},"{0.964618310368159,1.094359073466912,0.8664491363727245}",0,3
816913887554954199,{},"{0.538892606,3.40619313}",{},"{0.036589677,0.033658993}",{},"{1.7130676870125847,2.9599967318281113}",0,2
7102013096890644952,{},{0.033779447},{},{0.026549637},{},{0.511748535947798},0,1
-298514962653462987,{},{0.251739991},{},{0.032275289},{},{0.698673197563446},0,1
-1723239386245354632,{},{0.132796309},{},{0.239513875},{},{1.5876097889915473},0,1
7221379846823333251,{},{14.544914485},{},{0.030378845},{},{1.344072600384218},0,1
299267792258938541,{},{0.631188549},{},{0.023344326},{},{2.567118606723964},0,1
-2202723705874175045,{},{3.89695709},{},{0.057982074},{},{2.552425874802814},0,1
316739818532851506,{},{1.664133702},{},{0.032590459},{},{0.7568773590134595},0,1
5596001239447068866,{},{0.264614674},{},{0.009777078},{},{1.3737869074369975},0,1
-4608735958739764665,{},{4.552511059},{},{0.01041439},{},{1.972610036978174},0,1
3199076743843001296,{},"{14.335305119,21.979778667}",{},"{0.019509343,0.017385982}",{},"{4.235331737217578,3.2730744301279655}",0,2
6624959997497422723,{},{0.391266456},{},{0.248368493},{},{2.208030590141215},0,1
-7994933085961275538,{},{0.074363758},{},{0.110759143},{},{1.2248055519794314},0,1
-5459870143170781696,{},"{14.349253294,13.485777623}",{},"{0.020179586,0.019038869}",{},"{3.251494470785714,3.6191454402313017}",0,2
7420183357700622221,{},"{1.957822468,1.584521633,1.673869914,2.090979336}",{},"{0.008045135,0.008413287,0.007155477,0.00709751}",{},"{3.9090091134822647,4.13849423164939,2.157264056547416,3.009194457570343}",0,4
2103229838344518222,{},{0.036940953},{},{0.243873952},{},{1.5239925819158815},0,1
-6682106289455670140,{},{3.915516636},{},{0.277792459},{},{3.0764245131838526},0,1
1076878163750528468,{},{0.190678887},{},{0.113797878},{},{0.6013757064605653},0,1
4184495773567888797,{},{0.103349321},{},{0.05996901},{},{1.9147645675152793},0,1
146477119612211947,{},{0.378135108},{},{0.13926974},{},{1.4315062513798074},0,1
7915967579038312663,{},{21.182430978},{},{0.081608535},{},{1.7960387091327648},0,1
