fs,fss,nfeatures,features,targets,reliability,oids
3549109824785540005,1038635154,1,{{-13.289498535704016}},{3.295836866004329},{1},{16457}
1025902338300761143,67569726,9,"{{-9.210340371976182,-0.6003735468458322,-9.504277838590472,-15.242824734036668,-2.728318396736584,0,-1.3862943611198906,-14.959841313840421,-10.408405761837653}}",{8.830396801098097},{1},"{16430,16413,16406,16399,16440,16478,16488,16507}"
9105500078934324812,1424196224,1,{{-11.936642979795478}},{3.5263605246161616},{1},{16478}
5372730239182956237,598185714,11,"{{-1.7785668925906666,-10.399707023912757,-1.9459101490553135,-1.1351725646666098,-1.252762968495368,-0.6205165092208073,-12.367328027087364,-0.027073011310292976,-1.3862943611198906,-0.9166616375791621,-10.420568570464626}}",{11.159075099579564},{1},"{16418,16425,16440,16447,16457,16471,16478,16507}"
-4074774145614403639,1698252304,1,{{-4.727387818712341}},{0},{1},{16435}
-3210595597316270705,84463956,7,"{{-10.407535888045164,-1.9459101490553135,-1.252762968495368,-1.3862943611198906,-1.3862943611198906,-0.9101093544466404,-10.420568570464626}}",{5.659482215759621},{1},"{16430,16413,16440,16447,16478,16507}"
1693774000992751456,654277301,4,"{{-0.5658559502134175,-12.87268443898788,-14.743062444355063,-0.20380047533856696}}",{0},{1},{16507}
-2787191317670660246,1081891847,1,{{-13.038035668880262}},{1.0986122886681098},{1},{16471}
-310926232940389306,173033007,12,"{{-15.242824734036668,-10.403867603296149,-1.9459101490553135,-9.211231200935764,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-8.517243192666278,-9.727421389904682,-0.603055005399961,-14.959841313840421,-0.00010000500033334732}}",{2.833213344056216},{1},"{16430,16413,16406,16399,16440,16447,16478,16488,16507}"
3350265702090035455,226294809,0,,{0},{1},"{16385,16399,16418,16440,16457,16478,16488,16507}"
-1889760809355916724,-68979623,11,"{{-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-3.351265039837249,-9.860952782529203,-15.242824734036668,-0.8799588309059216,-4.727387818712341,-4.727387818712341,-11.806862931584517},{-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-3.354887707239938,-9.860952782529203,-15.242824734036668,-0.8797805854486596,-4.727387818712341,-4.727387818712341,-10.407535888045164}}","{8.661639795781266,8.661639795781266}","{1,1}","{16430,16413,16413,16399,16435,16440,16471,16478,16488,16507}"
2434959201386717317,-1350581416,8,"{{-4.727387818712341,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-12.367328027087364,-4.727387818712341,-1.0178805503185573,-4.727387818712341}}",{13.86601544163776},{1},"{16418,16425,16435,16435,16457,16464,16471}"
