queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,"{0.122344214,0.147024573,0.140277761,0.134930577,0.134388429,0.124118757,0.170971576,0.135651673,0.147188825,0.133042781}",{0.092219457},"{0.031122358,0.0271376,0.030488074,0.026549646,0.030546456,0.026882791,0.037337759,0.030289171,0.027083476,0.030281421}",{0.012401197},"{1.4385404747034312,0,0,0,0,0,0,0,0,0}",{1.172989933948849},10,1
-6651533820180303979,"{0.299926989,0.30791333,0.301040992,0.302955187,0.309987986,0.329524581,0.422545724,0.380763691,0.32349905,0.329677994}",{0.645729918},"{0.029951335,0.031402382,0.033399102,0.032897298,0.037716876,0.03492289,0.03619839,0.034407624,0.034170828,0.030118813}",{0.021289912},"{0.7277090632656152,0.21317332687276505,0,0,0,0,0,0,0,0}",{0.712949410247023},10,1
-3414057395363075461,"{0.18807648,0.174565918,0.209044719,0.173923598,0.178200576,0.197652348,0.192659373,0.19937763,0.173443262,0.19108471}",{0.179500959},"{0.01504233,0.01664703,0.01876138,0.015941811,0.014581384,0.014301228,0.015845714,0.018494111,0.017978624,0.018927085}",{0.008942713},"{1.1885889419697482,0.07701635339554948,0,0,0,0,0,0,0,0}",{0.9142991861305755},10,1
3350265702090035455,"{57.848569877,75.365586024,103.546677593,126.019947691,184.127349136,11.918691944,13.812529288,12.752544881,13.205161397,12.652652089}",{61.923453419},"{0.060619619,0.064468076,0.061139899,0.05921922,0.059927431,0.056838575,0.062317034,0.062057877,0.056562915,0.048600486}",{0.031073643},"{3.3320606482785617,1.7111492912836013,1.9462889100325833,1.635186414167456,1.339774921366629,3.999210237045266e-08,0,0,0,0}",{3.32430610149472},10,1
-917204397272063480,"{30.747608025,32.376212784,22.160783496,69.525202455,6.036748918,6.238489933,6.875398565,6.311996929,7.815594997,7.126970864}",{32.6507846},"{0.042607861,0.031872699,0.031807109,0.034897089,0.034665288,0.030317813,0.032168697,0.029860275,0.029742508,0.033402827}",{0.024932291},"{3.251750921039907,1.4715473432055728,1.861491377978739,1.0164718585744368,0.08274325329888382,0.07946027465286959,0.07617004131003072,0.07445760542327357,0.05875045365571693,0.0550729224042836}",{3.259902824746556},10,1
1693774000992751456,"{0.115397678,0.07685409,0.264609941,3.772505157,0.608490354,0.150260693,0.090953589,0.795518042,0.757918228,0.149242422}",{0.101045468},"{5.45533391,5.930616967,6.342832089,5.423627308,5.56530863,5.655792583,5.687781298,5.269707482,5.490028816,5.334262361}",{0.326566341},"{1.5424304725217164,0.868343253888519,1.3930056167094544,1.5079192220713216,1.8381502436408712,0.9460300260407903,0.7343262851028144,1.7251087697178964,1.7588177587370009,1.1509316644788863}",{1.5424304725217164},10,1
3759324545287071861,"{0.044598679,0.133363903,0.037147624,0.033881375,0.076720808,0.032789726,0.043249109,0.150410246,0,0.034484553,0.037392286,0.111383156,0.036856489,0.045471782,0.093720368,0.031276009,0.049662743,0.15714877,0.038279936}","{0.05801854,0.016410335,0.042038724}","{0.0299022,0.013036875,0.016975421,0.013533412,0.014962628,0.012624979,0.018516414,0.012772219,0,0.013161248,0.027664003,0.017715187,0.014174843,0.013638693,0.012582355,0.012335593,0.014776534,0.014223688,0.014024003}","{0.008199406,0.007962415,0.008128514}","{0.00782496443374938,0.006882892885063315,0.005930956533491011,0.005930956533491011,0.00496894659435129,0.00496894659435129,0.003996647583737876,0.003996647583737876,0,0.003013837028809166,0.003013837028809166,0.003013837028809166,0.002020285162246373,0.002020285162246373,0.002020285162246373,0.002020285162246373,0.002020285162246373,0.00101575459982958,0.00101575459982958}","{0.9639571504291518,1.0936979135279048,0.866770786988646}",30,3
816913887554954199,"{3.924841721,0.702360985,7.567669772,0.556159064,6.729218597,0.498493857,70.006438863,0.538017423,20.570524957,0.553748435,4.296719809,0.620424537,3.820449814,0.551473933,3.605882784,0.616129388,3.607899692,0.482441282,0}","{0.606398211,3.411629469}","{0.067032079,0.060758288,0.063629765,0.055685225,0.067633817,0.056340342,0.065610287,0.064947278,0.064322186,0.058533286,0.062943262,0.067561812,0.058574186,0.057952068,0.06234316,0.05852337,0.065583748,0.056650787,0}","{0.039645727,0.034399105}","{1.9313213300858472,0.406892181874426,1.3581347359238323,0.016342184067853052,0.9872171788103695,0.01992765746438478,1.8355054183887545,0.02329569200974228,1.4367876584778985,0.02329569200974228,0.06872483211695733,0.02329569200974228,0.06872483211695733,0.026471159445294965,0.06872483211695733,0.026471159445294965,0.06872483211695733,0.026471159445294965,0}","{1.7134717291975334,2.9610215129351776}",20,2
7102013096890644952,"{0.026625668,0.027218208,0.036275606,0.031126809,0.030680401,0.028072244,0.024962212,0.028669933,0.032426417,0.028494933}",{0.032654613},"{0.057197736,0.064179937,0.063522908,0.062307428,0.061263833,0.064280914,0.062360748,0.060806321,0.074472818,0.073588913}",{0.026603176},"{0.511748535947798,0.6514920980815138,0.20574819247124182,0.09406858139588711,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486}",{0.511748535947798},10,1
-298514962653462987,"{0.228534658,0.213759833,0.196108278,0.237812826,0.238021729,0.227873478,0.221802912,0.240543933,0.224817692,0.227721175}",{0.245223851},"{0.074776913,0.077986785,0.060016302,0.068308695,0.062428563,0.06904103,0.06907372,0.076162023,0.065335012,0.071893002}",{0.034917347},"{0.7089813557920983,0.2302102348935062,0.03261625930198451,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733}",{0.7088554993185616},10,1
