Query Number,Query Name,Execution Time,Plan time,Query hash
1,10a.sql,289.394,27.968,-6651533820180303979
1,10b.sql,138.032,28.296,988535410010893112
1,10c.sql,10851.189,24.453,2494719406442254794
1,11a.sql,68.321,53.503,-8754961486292191806
1,11b.sql,22.248,53.403,7102013096890644952
1,11c.sql,205.306,48.907,2333270921735776355
1,11d.sql,244.699,47.586,-5951735317690032369
1,12a.sql,194.486,62.386,-9026514954839072455
1,12b.sql,116.150,53.440,5632455736553151255
1,12c.sql,706.842,48.869,6417179009749033666
1,13a.sql,562.472,61.597,-1829334865866162189
1,13b.sql,929.231,70.151,4778871310081631647
1,13c.sql,874.355,86.140,4778871310081631647
1,13d.sql,2445.505,68.728,2434959201386717317
1,14a.sql,357.982,52.179,274192810335693858
1,14b.sql,299.600,66.532,-4506995590541967356
1,14c.sql,501.801,60.343,299267792258938541
1,15a.sql,595.709,114.812,-460740518707800565
1,15b.sql,47.826,123.144,-4209927756710409746
1,15c.sql,1538.762,116.257,4486446217020337985
1,15d.sql,1560.605,135.820,-321921298358758659
1,16a.sql,509.111,55.394,816913887554954199
1,16b.sql,11119.016,59.357,3350265702090035455
1,16c.sql,3081.444,54.947,607840843579539521
1,16d.sql,3781.273,49.713,816913887554954199
1,17a.sql,6108.626,32.522,-917204397272063480
1,17b.sql,4516.747,34.831,-5459870143170781696
1,17c.sql,4114.004,33.475,-5459870143170781696
1,17d.sql,4044.315,48.362,3199076743843001296
1,17e.sql,9644.935,34.537,-1944885556475480423
1,17f.sql,7885.560,34.477,3199076743843001296
1,18a.sql,409.130,37.515,-3485514449383768787
1,18b.sql,227.280,47.672,-2924466581088026648
1,18c.sql,4553.842,38.998,1168076528610430802
1,19a.sql,344.263,224.131,-2080431693778951356
1,19b.sql,898.121,237.542,-2216088972165640435
1,19c.sql,798.198,200.189,5068614643165729469
1,19d.sql,10349.982,198.943,7915967579038312663
1,1a.sql,119.551,17.534,-1116224040252844741
1,1b.sql,114.108,14.372,-4074774145614403639
1,1c.sql,103.139,13.460,946838174961328458
1,1d.sql,107.898,13.431,-6885312641126422993
1,20a.sql,4170.315,110.016,-2202723705874175045
1,20b.sql,2520.128,170.066,-310926232940389306
1,20c.sql,2854.848,118.956,-6387362809141986757
1,21a.sql,88.338,111.212,1038524182031953798
1,21b.sql,44.376,125.299,4184495773567888797
1,21c.sql,66.304,141.150,-7971004576533452411
1,22a.sql,538.783,263.433,-7110568913434103698
1,22b.sql,384.314,396.085,-7110568913434103698
1,22c.sql,813.244,292.979,-5949668645089970217
1,22d.sql,1360.693,268.660,1524343667767028728
1,23a.sql,122.916,260.052,4445581228366823766
1,23b.sql,47.710,240.210,-7994933085961275538
1,23c.sql,195.465,245.059,1076878163750528468
1,24a.sql,360.527,3127.240,6624959997497422723
1,24b.sql,106.620,2963.425,1322643491423167220
1,25a.sql,1755.796,108.915,-5845388691995996195
1,25b.sql,381.650,115.853,-4983731566966487840
1,25c.sql,4653.796,99.302,9105500078934324812
1,26a.sql,639.783,2619.468,1025902338300761143
1,26b.sql,215.925,2265.626,-3475685009172437784
1,26c.sql,1905.980,2455.056,6841805925482126349
1,27a.sql,72.397,3101.486,-5323664899700589841
1,27b.sql,31.561,2758.053,2103229838344518222
