Query Number,Query Name,Execution Time,Plan time,Query hash
4,10a.sql,268.689,35.460,-6651533820180303979
4,10b.sql,137.765,31.157,988535410010893112
4,10c.sql,10519.381,26.559,2494719406442254794
4,11a.sql,76.713,64.487,-8754961486292191806
4,11b.sql,24.437,57.098,7102013096890644952
4,11c.sql,923.812,55.003,2333270921735776355
4,11d.sql,246.600,53.857,-5951735317690032369
4,12a.sql,159.476,59.737,-9026514954839072455
4,12b.sql,107.687,52.458,5632455736553151255
4,12c.sql,614.455,63.533,6417179009749033666
4,13a.sql,488.867,78.790,-1829334865866162189
4,13b.sql,859.865,80.013,4778871310081631647
4,13c.sql,792.465,88.727,4778871310081631647
4,13d.sql,2374.207,73.177,2434959201386717317
4,14a.sql,385.924,57.101,274192810335693858
4,14b.sql,259.298,64.236,-4506995590541967356
4,14c.sql,525.420,52.434,299267792258938541
4,15a.sql,585.709,122.321,-460740518707800565
4,15b.sql,40.729,133.370,-4209927756710409746
4,15c.sql,1501.540,129.798,4486446217020337985
4,15d.sql,1605.464,108.784,-321921298358758659
4,16a.sql,486.327,52.893,816913887554954199
4,16b.sql,13611.583,60.864,3350265702090035455
4,16c.sql,3768.771,77.462,607840843579539521
4,16d.sql,3571.902,58.697,816913887554954199
4,17a.sql,5953.366,34.584,-917204397272063480
4,17b.sql,4129.401,33.383,-5459870143170781696
4,17c.sql,3647.684,31.936,-5459870143170781696
4,17d.sql,3849.455,36.588,3199076743843001296
4,17e.sql,9085.292,34.845,-1944885556475480423
4,17f.sql,7226.151,38.115,3199076743843001296
4,18a.sql,381.605,38.245,-3485514449383768787
4,18b.sql,176.929,41.722,-2924466581088026648
4,18c.sql,4187.057,39.462,1168076528610430802
4,19a.sql,327.024,206.477,-2080431693778951356
4,19b.sql,879.105,198.024,-2216088972165640435
4,19c.sql,529.768,234.909,5068614643165729469
4,19d.sql,10296.879,212.839,7915967579038312663
4,1a.sql,122.184,14.372,-1116224040252844741
4,1b.sql,118.215,11.735,-4074774145614403639
4,1c.sql,113.340,14.354,946838174961328458
4,1d.sql,105.239,12.798,-6885312641126422993
4,20a.sql,1005.581,120.195,-2202723705874175045
4,20b.sql,846.005,130.706,-310926232940389306
4,20c.sql,4959.258,166.239,-6387362809141986757
4,21a.sql,93.041,128.361,1038524182031953798
4,21b.sql,65.526,131.174,4184495773567888797
4,21c.sql,68.798,130.769,-7971004576533452411
4,22a.sql,956.708,301.005,-7110568913434103698
4,22b.sql,328.188,261.936,-7110568913434103698
4,22c.sql,687.820,278.226,-5949668645089970217
4,22d.sql,872.301,271.095,1524343667767028728
4,23a.sql,128.617,243.156,4445581228366823766
4,23b.sql,46.808,238.724,-7994933085961275538
4,23c.sql,188.785,244.885,1076878163750528468
4,24a.sql,238.993,2693.368,6624959997497422723
4,24b.sql,123.574,2876.865,1322643491423167220
4,25a.sql,1504.802,119.722,-5845388691995996195
4,25b.sql,358.534,125.201,-4983731566966487840
4,25c.sql,4160.195,104.867,9105500078934324812
4,26a.sql,523.836,2333.716,1025902338300761143
4,26b.sql,451.390,2479.110,-3475685009172437784
4,26c.sql,1491.810,2276.608,6841805925482126349
4,27a.sql,147.319,2857.182,-5323664899700589841
4,27b.sql,43.642,2644.882,2103229838344518222
4,27c.sql,289.236,2591.921,-1723239386245354632
4,28a.sql,541.955,3629.132,-1573023350148659030
4,28b.sql,244.325,3935.759,-3210595597316270705
4,28c.sql,444.977,4091.645,5372730239182956237
4,29a.sql,102.177,5884.531,1693774000992751456
4,29b.sql,43.624,5575.313,-6571914703387389993
4,29c.sql,26551.374,5274.219,3549109824785540005
4,2a.sql,1134.732,13.902,7420183357700622221
4,2b.sql,231.393,14.892,7420183357700622221
4,2c.sql,142.577,13.512,7420183357700622221
4,2d.sql,1115.996,12.432,7420183357700622221
4,30a.sql,431.924,2912.689,-6682106289455670140
4,30b.sql,102.171,3006.798,7721649514993682563
4,30c.sql,1795.207,3087.085,-1889760809355916724
4,31a.sql,711.063,396.780,7519382914444524780
4,31b.sql,58.412,340.672,146477119612211947
4,31c.sql,634.544,332.328,2399599952233934428
4,32a.sql,19.436,20.569,6225652705960457954
4,32b.sql,495.305,20.347,6225652705960457954
4,33a.sql,47.667,3108.185,-3515944407635664271
4,33b.sql,41.443,2860.577,-6846011022746249658
4,33c.sql,49.931,3062.191,-2787191317670660246
4,3a.sql,272.490,12.468,5539820102114296223
4,3b.sql,155.995,11.879,2073429154321355728
4,3c.sql,407.547,13.061,8031722090065659855
4,4a.sql,165.675,12.227,-1950505845315524548
4,4b.sql,141.585,12.753,-1950505845315524548
4,4c.sql,241.911,10.659,-1950505845315524548
4,5a.sql,194.881,14.920,9106003620751043838
4,5b.sql,180.530,15.170,-3414057395363075461
4,5c.sql,216.402,16.986,5596001239447068866
4,6a.sql,68.751,12.618,3759324545287071861
4,6b.sql,248.324,13.775,-196995888411579451
4,6c.sql,34.913,16.257,3759324545287071861
4,6d.sql,4557.001,15.580,-196995888411579451
4,6e.sql,47.772,15.919,3759324545287071861
4,6f.sql,4437.598,15.019,-4608735958739764665
4,7a.sql,628.858,82.317,7100159318594498086
4,7b.sql,237.576,79.325,-298514962653462987
4,7c.sql,1643.113,70.549,-7678011977838348522
4,8a.sql,1041.523,41.432,99813637196177449
4,8b.sql,125.330,43.548,4954783290691726040
4,8c.sql,7775.709,31.818,-2444720784039749802
4,8d.sql,2927.808,78.490,-2444720784039749802
4,9a.sql,337.079,76.285,-6747521538659772949
4,9b.sql,1696.295,74.340,316739818532851506
4,9c.sql,479.732,64.777,-180252288200201541
