fs,fss,nfeatures,features,targets,reliability,oids
3549109824785540005,1038635154,1,{{-13.272906988144165}},{3.258096538021482},{1},{16457}
9105500078934324812,1424196224,1,{{-11.93201730599305}},{3.5263605246161616},{1},{16478}
-4074774145614403639,1698252304,1,{{-4.727387818712341}},{0},{1},{16435}
1693774000992751456,654277301,4,"{{-0.5682273363332855,-12.868292334320397,-14.743062444355063,-0.20307550321591045}}",{0},{1},{16507}
-2787191317670660246,1081891847,1,{{-13.046917587694706}},{1.0986122886681098},{1},{16471}
-310926232940389306,173033007,12,"{{-15.242824734036668,-10.401106348814837,-1.9459101490553135,-9.211447651454138,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-8.517243192666278,-9.727421389904682,-0.6043176896131222,-14.959841313840421,-0.00010000500033334732}}",{2.833213344056216},{1},"{16430,16413,16406,16399,16440,16447,16478,16488,16507}"
3350265702090035455,226294809,0,,{0},{1},"{16385,16399,16418,16440,16457,16478,16488,16507}"
-1889760809355916724,-68979623,11,"{{-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-3.3768950735690333,-9.860952782529203,-15.242824734036668,-0.8755327071046938,-4.727387818712341,-4.727387818712341,-11.806862931584517}}",{8.661639795781266},{1},"{16430,16413,16413,16399,16435,16440,16471,16478,16488,16507}"
2434959201386717317,-1350581416,8,"{{-4.727387818712341,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-10.829827620263284,-4.727387818712341,-1.0161294578281923,-4.727387818712341}}",{13.86601544163776},{1},"{16418,16425,16435,16435,16457,16464,16471}"
-5949668645089970217,1700696607,8,"{{-1.3862943611198906,-0.9134981405910861,-1.9459101490553135,-1.1149585546163294,-10.420568570464626,-10.401106348814837,-1.779409008716249,-1.252762968495368}}",{10.16018192736142},{1},"{16425,16440,16447,16457,16478,16507}"
1524343667767028728,1799566867,6,"{{-1.3862943611198906,-4.727387818712341,-0.027363187820156575,-10.420568570464626,-10.401106348814837,-4.727387818712341}}",{12.65879976665235},{1},"{16425,16435,16440,16457,16471,16478}"
7721649514993682563,-1060198274,9,"{{-0.6043176896131222,-8.22130525280142,-1.3862943611198906,-1.3862943611198906,-3.3768950735690333,-15.242824734036668,-0.8755327071046938,-4.727387818712341,-4.727387818712341}}",{1.6094379124341003},{1},"{16430,16413,16399,16435,16471,16488,16507}"
4445581228366823766,660590267,4,"{{-0.6043176896131222,-1.3862943611198906,-14.743062444355063,-1.3862943611198906}}",{7.641564441260972},{1},"{16430,16413,16507}"
-3475685009172437784,-489893750,4,"{{-9.210340371976182,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906}}",{11.361416293286421},{1},"{16430,16413,16413}"
-6682106289455670140,-352170068,1,{{-13.046917587694706}},{1.0986122886681098},{1},{16471}
-1573023350148659030,450362105,2,"{{-4.727387818712341,-4.727387818712341}}",{0},{1},{16435}
2494719406442254794,1682084828,1,{{-1.0161294578281923}},{11.34855776873237},{1},{16418}
6841805925482126349,1783218718,8,"{{-9.210340371976182,-9.504277838590472,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-4.727387818712341,-4.727387818712341,-10.401106348814837}}",{8.738414897167749},{1},"{16430,16413,16413,16435,16440,16471,16478}"
-310926232940389306,1360573863,1,{{-11.44586643668829}},{0},{1},{16430}
-5459870143170781696,65100960,2,"{{-15.242824734036668,-4.8274190141095845},{-15.242824734036668,-9.211447651454138}}","{0,0}","{1,1}",{16488}
3199076743843001296,1112310382,1,{{-11.806862931584517}},{0},{1},{16440}
7721649514993682563,-1163335421,2,"{{-15.242824734036668,-0.8755327071046938}}",{0},{1},{16488}
2399599952233934428,-280580803,2,"{{-9.860952782529203,-11.806862931584517}}",{0},{1},{16440}
2399599952233934428,-1395660932,1,{{-11.93201730599305}},{3.954948099588603},{1},{16478}
-4209927756710409746,-1532358405,7,"{{-1.0161294578281923,-1.779409008716249,-1.779409008716249,-3.627765135193404,-12.310757748468845,-10.829827620263284,-7.327459299804411}}",{1.0986122886681098},{1},"{16392,16418,16457,16464}"
1025902338300761143,-489893750,4,"{{-9.210340371976182,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906}}",{11.361416293286421},{1},"{16430,16413,16413}"
6841805925482126349,-79600372,6,"{{-9.504277838590472,-1.3862943611198906,-1.3862943611198906,-4.727387818712341,-4.727387818712341,-10.401106348814837}}",{8.738414897167749},{1},"{16430,16413,16435,16440,16471,16478}"
-1889760809355916724,-1393294563,2,"{{-4.388984109633438,-13.421669132350415}}",{0},{1},{16464}
-6387362809141986757,-358063443,1,{{-1.3862943611198906}},{0},{1},{16413}
-1723239386245354632,1685233464,15,"{{-1.0986122886681093,-1.3862943611198906,-0.7191353283247456,-0.20307550321591045,-0.09725901836917965,-12.367328027087364,-0.11202713060292206,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.4309553723739108,-1.3862943611198906,-1.3862943611198906,-3.7826452271286155,-2.772588722239781}}",{5.6240175061873385},{1},"{16430,16413,16413,16418,16425,16452,16457,16483,16507}"
-4209927756710409746,-40896848,3,"{{-13.421669132350415,-3.627765135193404,-7.327459299804411}}",{0},{1},{16464}
5372730239182956237,-1256417319,11,"{{-4.727387818712341,-2.994692088903998,-1.9459101490553135,-1.252762968495368,-4.727387818712341,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-0.027363187820156575,-4.727387818712341,-0.9134981405910861}}",{11.79763061076956},{1},"{16430,16413,16435,16435,16447,16464,16471,16478,16507}"
9105500078934324812,-182745457,6,"{{-0.8755327071046938,-10.401106348814837,-9.860952782529203,-15.242824734036668,-4.388984109633438,-3.3768950735690333}}",{10.312845075359636},{1},"{16399,16440,16464,16478,16488}"
2399599952233934428,-1905138157,7,"{{-4.727387818712341,-4.727387818712341,-9.21954258275344,-10.829827620263284,-9.860952782529203,-11.806862931584517,-4.388984109633438}}",{7.954372272531867},{1},"{16418,16435,16440,16457,16464,16478}"
