queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,"{0.13387481,0.147240601,0.126322548,0.166328139,0.166386897,0.143983677,0.124960197,0.161617243,0.139676786}",{0.108006258},"{0.026814986,0.036009286,0.029764719,0.031007834,0.036300574,0.03766489,0.032330832,0.028562226,0.038725065}",{0.013558865},"{1.4566003418586153,0,0,0,0,0,0,0,0}",{1.1878627657237064},9,1
-6651533820180303979,"{0.296731494,0.325530202,0.337508769,0.316162678,0.341808378,0.349601844,0.321799008,0.372891359,0.326104958}",{1.166624242},"{0.030258526,0.037905126,0.033495141,0.038832097,0.036040938,0.039604963,0.033839352,0.037526017,0.036280997}",{0.023160823},"{0.7272594785052978,0.21317332687276505,0,0,0,0,0,0,0}",{0.7124998254867055},9,1
-3414057395363075461,"{0.203229689,0.200093012,0.187331559,0.201316459,0.204877842,0.170104678,0.195700556,0.179135663,0.213721498}",{0.194298664},"{0.016056422,0.018310084,0.01703747,0.018859169,0.017119338,0.017177265,0.016196948,0.017795128,0.015561954}",{0.010026627},"{1.1703567862903526,0.07701635339554948,0,0,0,0,0,0,0}",{0.900274450992579},9,1
3350265702090035455,"{64.834181405,94.700566432,119.135703165,150.062411972,196.143420368,13.171276746,17.431139559000002,20.073718237,15.147409087}",{53.389082301},"{0.057513123,0.074208362,0.050984233,0.066503318,0.057436846,0.058537848,0.060322039,0.060378363,0.06214895}",{0.028383955},"{3.3313877578101208,1.707837494868962,1.9432084833527103,1.6323768154317455,1.3362495255324243,3.999210237045266e-08,0,0,0}",{3.323633211026279},9,1
-917204397272063480,"{36.929560975,41.073424779,28.348376082,129.624527685,6.723094055,6.759194053,8.357311695,7.416165429,7.014249793}",{31.437708215},"{0.038503022,0.040745155,0.037361675,0.038321086,0.038637427,0.029664263,0.031882384,0.044190331,0.029143954}",{0.016267595},"{3.2479796680748634,1.4648073210510568,1.8607517243758014,1.01514983513661,0.0827534720383229,0.07946027465286959,0.07617004131003072,0.07445760542327357,0.05875045365571693}",{3.2561315717815122},9,1
1693774000992751456,"{0.081548391,0.23371926,0.151098291,0.070624228,0.198554604,1.371570345,0.743653749,0.092374769,0.106129078}",{0.060990803},"{5.426385705,5.616985927,5.475740194,5.385907682,5.319388468,5.483068545,5.714230949,5.515980808,5.438935068}",{0.337337037},"{1.3471197849599656,1.550229984607559,1.0563863207205655,0.8923541670904961,0.869330433351154,1.848351970432042,1.837671745127675,0.5491056539013419,0.5605495567476454}",{1.3471197849599656},9,1
3759324545287071861,"{0.037906476,0.126122084,0.038110293,0.039880957,0.091426189,0.036567564,0.037839944,0.074055366,0.036752365,0.057304489,0.0835101,0,0.036918565,0.037721648,0.086952758,0.034014636,0.041397981,0.092551559,0.038354156}","{0.053182274,0.018976862,0.050485807}","{0.013895766,0.012613015,0.01444219,0.015525768,0.013196056,0.013881519,0.013520204,0.01109976,0.012190867,0.014894949,0.012403068,0,0.014547608,0.013003894,0.011136744,0.012121786,0.014276294,0.012194392,0.015200802}","{0.007621057,0.007759568,0.01187876}","{0.010593983295995651,0.00968031640022274,0.008757373539857515,0.00782496443374938,0.006882892885063315,0.005930956533491011,0.005930956533491011,0.00496894659435129,0.00496894659435129,0.003996647583737876,0.003996647583737876,0,0.003013837028809166,0.003013837028809166,0.003013837028809166,0.002020285162246373,0.002020285162246373,0.002020285162246373,0.002020285162246373}","{0.964618310368159,1.094359073466912,0.8664491363727245}",27,3
816913887554954199,"{0.850653809,3.972612447,0.765182943,7.063956095,0.711725343,6.7956747889999995,0.624384855,76.850913429,0.537298228,23.85714575,0.587601876,4.292128019,0.672789682,3.738946833,0.54812561,3.7290730869999997,0.597912486,3.915103469}","{0.538892606,3.40619313}","{0.056468562,0.073175995,0.06727515,0.064133088,0.074539459,0.059394518,0.059084344,0.06397154,0.060502024,0.059819483,0.070475269,0.066342992,0.060137194,0.072518086,0.054680932,0.058561783,0.053903218,0.065043489}","{0.036589677,0.033658993}","{1.7224798065658091,1.9313213300858472,0.406892181874426,1.3569518578282378,0.016342184067853052,0.985124986747342,0.01992765746438478,1.8321951884795444,0.02329569200974228,1.434279496065829,0.02329569200974228,0.06873938110327811,0.02329569200974228,0.06873938110327811,0.026471159445294965,0.06873938110327811,0.026471159445294965,0.06873938110327811}","{1.7130676870125847,2.9599967318281113}",18,2
7102013096890644952,"{0.026327234,0.026947032,0.035335458,0.045581106,0.034292644,0.031887407,0.035326147,0.035847099,0.024241382}",{0.033779447},"{0.061428787,0.076669037,0.063679162,0.059116215,0.071939758,0.060658721,0.073769731,0.065918543,0.054574458}",{0.026549637},"{0.511748535947798,0.6514920980815138,0.20574819247124182,0.09406858139588711,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486}",{0.511748535947798},9,1
-298514962653462987,"{0.231349829,0.272090755,0.23981911,0.22671421,0.223396249,0.211485332,0.21757103,0.225093801,0.242250393}",{0.251739991},"{0.066937741,0.072598463,0.069697066,0.074993237,0.068565499,0.076619866,0.07914767,0.068935926,0.073295909}",{0.032275289},"{0.6987990540369827,0.22599746080542532,0.03261625930198451,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733}",{0.698673197563446},9,1
